timestamp,text,label
2026-06-05 14:53:49,CỤC ĐƯỜNG BỘ thông báo: Phương tiện của ông/bà có biên bản phạt nguội vi phạm giao thông quá hạn thanh toán. Nếu không nộp phạt trước 24h sẽ bị phong tỏa tài khoản ngân hàng. Tra cứu biên bản tại: http://phatnguoi-canhsat.gov-vn.info,0
2026-06-05 14:57:30,TÒA ÁN NHÂN DÂN TP.HCM thông báo: Lệnh bắt giam khẩn cấp đối với số CMND/CCCD của bạn vì liên quan đến đường dây rửa tiền xuyên quốc gia. Yêu cầu bấm vào link http://xacminh-bocongan.com để khai báo số dư tài khoản nhằm chứng minh vô tội.,0
2026-06-05 14:58:07,"Báo điện tử Chính phủ: Từ ngày đầu tháng sau, chính sách điều chỉnh tăng lương hưu và trợ cấp bảo hiểm xã hội đối với các đối tượng bảo trợ sẽ chính thức có hiệu lực.",1
2026-06-05 15:02:03,"Trung tâm Dự báo Khí tượng Thủy văn Quốc gia cho biết cuối tuần này khu vực Bắc Bộ đón một đợt không khí lạnh tăng cường, nhiệt độ giảm sâu, người già và trẻ nhỏ cần giữ ấm.",1
2026-06-05 15:04:11,"BÍ MẬT ĐỘNG TRỜI: Tìm ra bài thuốc lá rừng của đồng bào Tây Bắc điều trị DỨT ĐIỂM bệnh tiểu đường tuýp 2 chỉ sau 1 liệu trình, không cần tiêm thuốc, không cần đi bệnh viện. Đăng ký mua đợt giảm giá 50% tại: http://thanduoc-tieuduong.vn",0
2026-06-05 15:08:31,"CẤP BÁCH: Tài khoản ngân hàng của bạn vừa bị trừ 25.000.000 VND cho hóa đơn thanh toán mua sắm trực tuyến. Nếu giao dịch này có gian lận, hãy click ngay http://nganhang-khieunai.com để hủy giao dịch và đóng băng thẻ khẩn cấp.",0
2026-06-05 15:10:54,Bộ Y tế xác nhận uống nước chanh pha muối mỗi sáng có thể chữa khỏi hoàn toàn bệnh tiểu đường chỉ sau 30 ngày.,0
2026-06-05 15:11:35,Bộ Y tế khuyến cáo người dân tiêm vaccine cúm mùa để giảm nguy cơ mắc bệnh và biến chứng nghiêm trọng.,1
2026-06-05 16:38:45,Báo động sức khỏe: Tổ chức Y tế Thế giới công bố hoạt chất có trong củ cải trắng có khả năng tiêu diệt 99.9% tế bào ung thư phổi chỉ trong 48 giờ. Chia sẻ ngay bài viết này cho người thân và đặt mua tinh chất tại link dưới.,0
2026-06-05 22:53:29,"Mbank CẢNH BÁO: Tài khoản của quý khách đang được đăng nhập trên một thiết bị lạ tại Hà Nội. Nếu không phải bạn thao tác, vui lòng nhấn vào http://mbbank-security-otp.com để HỦY liên kết và bảo vệ số tiền hiện có.",0
2026-06-05 22:54:14,"CHÚC MỪNG: Chủ thuê bao 0931207366 đã trúng 1 chiếc iPhone 17, vui lòng nhấn vào link bên dưới để nhập thông tin nhận thưởng http://localhost:8501/",0
2026-06-05 23:05:03,Mã OTP của bạn là 583921. Không chia sẻ mã này với bất kỳ ai.,1
2026-06-05 23:34:05,Bạn vừa yêu cầu đặt lại mật khẩu. Mã OTP: 562738.,1
2026-06-05 23:34:57,Mã OTP liên kết tài khoản của bạn là 746183,1
2026-06-05 23:35:35,Mã OTP hoàn tất đăng ký là 482901,1
2026-06-05 23:36:27,Mã OTP xác nhận nạp tiền là 827104.,1
2026-06-05 23:36:59,"Xác nhận nhận tiền hỗ trợ, vui lòng gửi OTP vừa nhận.",0
2026-06-05 23:42:35,Quý khách đang thực hiện giao dịch chuyển tiền. Mã OTP: 281944. Hiệu lực trong 60 giây,1
2026-06-08 09:51:41,CẤP BÁCH: Tài khoản ngân hàng của ông Nguyễn Văn An đang bị tạm khóa. Vui lòng truy cập https://vietcom-secure247.com và nhập mã OTP để mở khóa.,0
2026-06-08 09:52:53,Chúc mừng cô Trần Thị Mai đã trúng thưởng 1 xe Honda SH. Liên hệ ngay qua https://quatang-vip2026.net để nhận giải.,0
2026-06-08 09:53:54,Bộ Y tế khuyến cáo người dân tiêm vaccine cúm mùa và theo dõi sức khỏe định kỳ tại các cơ sở y tế địa phương.,1
